fiscal_year,bid_number,document_type,record_date,record_number,title,normalized_vendor,category,subcategory,evidence_basis,substantive_source_url,procurement_status,award_status,contract_status,amendment_status,po_status,invoice_status,payment_status,approved_amount,contract_ceiling,verified_actual_payments,parent_contract_number,source_url,notes
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-01","2021/2022-129 AM4","FOURTH AMENDMENT TO AGREEMENT FOR STORMWATER POND MOWING - ISLAND OUTDOOR MANAGEMENT, INC.","ISLAND OUTDOOR MANAGEMENT, INC.","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2021/2022-129","https://dmcc.clayclerk.com/Documents/Download/16600","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-01","2022/2023-218 AM1","FIRST AMENDMENT TO AGREEMENT FOR TRIM PROCESSING AND EXEMPTION RENEWALS - FSSI EAST, INC. FKA CATHEDRAL","FSSI EAST, INC. FKA CATHEDRAL","Administrative/Consulting",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-218","https://dmcc.clayclerk.com/Documents/Download/16599","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-01","2022/2023-72 RN1","FIRST RENEWAL TO AGREEMENT FOR FRONTLOAD CONTAINER SERVICE FOR MULTIPLE COUNTY FACILITIES - FREEDOM WASTE RENEWAL","FREEDOM WASTE RENEWAL","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-72","https://dmcc.clayclerk.com/Documents/Download/16607","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-01","2024/2025-0305","CLAY COUNTY HEALTH DEPARTMENT FY25-26 OPERATIONAL FUNDING AGREEMENT",,"Health/Human Services",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16671","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-01","2025/2026-26 (A)","Machine Repurchase Agreement - RINGPOWER","RINGPOWER","Equipment/Fleet",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16672","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-02","2019/2020-37 AM2","SECOND AMENDMENT TO AGREEMENT FOR FINANCIAL ADVISORY SERVICES - PFM FINANCIAL ADVISORS, LLC.","PFM FINANCIAL ADVISORS, LLC.","Administrative/Consulting",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2019/2020-37","https://dmcc.clayclerk.com/Documents/Download/16598","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-02","2022/2023-6 RN1","FIRST RENEWAL TO AGREEMENT FOR DECEASED PERSONS TRANSPORT - NORTH FLORIDA REMOVAL AND CLEANING SERVICE, INC.","NORTH FLORIDA REMOVAL AND CLEANING SERVICE, INC.","Health/Human Services",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16597","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-02","2024/2025-250 AM1","FIRST AMENDMENT TO AGREEMENT FOR GREEN COVE SPRINGS SENIOR CENTER HEAT PUMP SPLIT HVAC SYSTEM UPGRADE - JR HOBBS","JR HOBBS","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-250","https://dmcc.clayclerk.com/Documents/Download/16603","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-02","2024/2025-66 AM1","FIRST RENEWAL AND AMENDMENT TO INTERLOCAL AGREEMENT BETWEEN CLAY COUNTY, FLORIDA AND THE CITY OF GREEN COVE SPRINGS, FLORIDA - USE OF COUNTY'S GRANT STAFF FOR GRANT RESEARCH AND WRITING ASSISTANCE",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2024/2025-66","https://dmcc.clayclerk.com/Documents/Download/16611","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-02","2024/2025-81 RN1 AM1","FIRST RENEWAL AND AMENDMENT TO AGREEMENT FOR POND TREATMENT SPRAYING SERVICES - NORT TERRITORY - LAKE DOCTORS POND SPRAYING","LAKE DOCTORS POND SPRAYING","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-81","https://dmcc.clayclerk.com/Documents/Download/16664","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-02","2024/2025-82 RN1 AM1","FIRST RENEWAL AND AMENDMENT TO AGREEMENT FOR POND TREATMENT SPRAYING SERVICES – SOUTH TERRITORY - BIO-TECH CONSULTING, LLC","BIO-TECH CONSULTING, LLC","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-82","https://dmcc.clayclerk.com/Documents/Download/16596","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-02","2025/2026-0002","ADOPT-A-MILE/SPOT PROGRAM LITTER REMOVAL AGREEMENT - BIG SKYE DUMPSTER",,"Community/Nonprofit Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16608","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-02","2025/2026-0003","TOURIST DEVELOPMENT COUNCIL SPORTS EVENT GRANT FUNDING AGREEMENT - JC KITAIF PRO RODEOS",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16602","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-03","2024/2025-0211","AGREEMENT BETWEEN AND AMONG CITY OF JACKSONVILLE, BAKER COUNTY, CLAY COUNTY, NASSAU COUNTY, AND ST. JOHNS COUNTY FOR MANAGEMENT AND CONTROL OF ??ROPERTY AND EQUIPMENT ACQUIRED WITH FEDERAL GRANT FUNDS",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16615","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-05","2024/2025-0354","GENERAL DEVICES, LLC E-BRIDGE SAAS SERVICE AGREEMENT","General Devices, LLC","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16590","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-08","2022/2023-15 RN3","CONTRACT BoCC AND LOBBY TOOLS RENEWAL","LobbyTools","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-15","https://dmcc.clayclerk.com/Documents/Download/16604","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-08","2024/2025-132 AM1","FIRST AMENDMENT TO AGREEMENT FOR POND REGRADING AND ELECTRICAL IMPROVEMENTS AT THE CLAY COUNTY FAIRGROUNDS - K & G CONSTRUCTION","K & G CONSTRUCTION","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-132","https://dmcc.clayclerk.com/Documents/Download/16623","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-08","2025/2026-0005","AGREEMENT FOR SIDEWALK REPAIR - PRECISION SIDEWALK SAFETY CORP","PRECISION SIDEWALK SAFETY CORP","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16658","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-09","2025/2026-0006","INTERLOCAL AGREEMENT BETWEEN CLAY COUNTY, FLORIDA AND THE CITY OF GREEN COVE SPRINGS, FLORIDA FOR BUILDING INSPECTION AND PLAN REVIEW SERVICES -",,"Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16605","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-14","2014/2015-155 RN1 AM3","FIRST RENEWAL AND THIRD AMENDMENT TO BUS BENCH SITING AGREEMENT PUSH MEDIA",,"Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2014/2015-155","https://dmcc.clayclerk.com/Documents/Download/16635","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-14","2024/2025-40 AM1","USDOT FY2023 SAFER STREETS GRANT",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2024/2025-40","https://dmcc.clayclerk.com/Documents/Download/16699","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-14","2025/2026-0007","MOSQUITO CONTROL STATE FINANCIAL ASSISTANCE RECIPIENT AGREEMENT -",,"Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16783","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-14","2025/2026-0027","THRASHER HORNE CENTER - RESERVATION AGREEMENT","RESERVATION AGREEMENT","Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16701","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-15","2025/2026-0008","BLUEMEDICARE GROUP MASTER AGREEMENT",,"Insurance/Benefits",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16676","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-16","2024/2025-263 AM1","FIRST AMENDMENT TO AGREEMENT FOR COMMUNITY DEVELOPMENT BLOCK GRANT (CDBG) HOUSING REHABILITATION - 1214 LIONS DEN DRIVE","1214 LIONS DEN DRIVE","Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-263","https://dmcc.clayclerk.com/Documents/Download/16642","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-23","2023/2024-20 RN1","First Renewal to Agreement for Foreclosure Property Registry with Hera Property Registry, LLC",,"Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2023/2024-20","https://dmcc.clayclerk.com/Documents/Download/16351","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-24","2024/2025-72 AM6","SIXTH AMENDMENT TO AGREEMENT FOR CLAY COUNTY ANIMAL SERVICES SHELTER AND CARE FACILITY",,"Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2024/2025-72","https://dmcc.clayclerk.com/Documents/Download/16626","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-24","2025/2026-0011","AGREEMENT FOR TRAFFIC SIGNAL MAINTENANCE, REPAIR, AND CONSTRUCTION CONTINUOUS SERVICES - CHINCHOR ELECTRIC","CHINCHOR ELECTRIC","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16648","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-24","2025/2026-0014","TOURIST DEVELOPMENT COUNCIL SPECIAL EVENT GRANT FUNDING AGREEMENT - 15TH MOOSEHAVEN CHILI COOK-OFF",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16646","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-28","2022/2023-31 RN2","SECOND RENEWAL AND AMENDMENT TO AGREEMENT FOR CONTINUING GENERAL ARCHITECTURAL/ENGINEERING CONSULTING SERVICES FOR PARKS AND RECREATION - CHEN MOORE","CHEN MOORE","Engineering & Professional Services","Architecture & Design","CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-31","https://dmcc.clayclerk.com/Documents/Download/16641","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-28","2022/2023-32 RN2","SECOND RENEWAL AND AMENDMEN TO AGREEMENT FOR CONTINUING GENERAL ARCHITECTURAL/ENGINEERING CONSULTING SERVICES FOR PARKS AND RECREATION - BHIDE AND HALL","BHIDE AND HALL","Engineering & Professional Services","Architecture & Design","CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-32","https://dmcc.clayclerk.com/Documents/Download/16640","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-28","2022/2023-33 RN2","SECOND RENEWAL AND AMENDMENT TO AGREEMENT FOR CONTINUING GENERAL ARCHITECTURAL/ENGINEERING CONSULTING SERVICES FOR PARKS AND RECREATION - GAI","GAI","Engineering & Professional Services","Architecture & Design","CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-33","https://dmcc.clayclerk.com/Documents/Download/16644","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-28","2025-2026-0025","STORM WIND RENEWAL AGREEMENT 3 YEAR OPTION",,"Insurance/Benefits",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16628","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-28","2025/2026-0018","VIRTUAL PRIME WITH GEO-PRIME AND CORE RELOCATION AND CIRRUS CENTRAL UPGRADE - SOURCEWELL CONTRACT 042021-MOTOROLA EQUIPMENT UPGRADE AND FINANCE AGREEMENT","Motorola Solutions","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16625","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-28","2025/2026-0019","AGREEMENT FOR CLAY COUNTY STATE HOUSING INITIATIVE PARTNERSHIP (SHIP) INSPECTION SERVICES",,"Engineering & Professional Services","Other Professional Services","CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16639","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-28","2025/2026-0020","GOVERNOR'S PARK MOBILITY FEE CREDIT AGREEMENT",,"Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16636","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-28","2025/2026-0021","LIEN REDUCTION AGREEMENT - 5207 SWEAT RD",,"Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16647","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-28","2025/2026-0023","COOPERA TTVE USE AGREEMENT BETWEEN CLAY COUNTY AND CLAY COUNTY HISTORICAL SOCIETY REGARDING HISTORIC TRIANGLE SITE - HISTORICAL SITE LEASE","HISTORICAL SITE LEASE","Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16627","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-28","2025/2026-0024","AGREEMENT FOR SIDEWALKS FOR THE COMMUNITY DEVELOPMENT BLOCK GRANT ENTITLEMENT PROGRAM - JAX UTILITIES - CDBG","CDBG","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16632","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-30","2025-2026-0022","AGREEMENT FOR THE PURCHASE AND INSTALLATION OF GAS WATER HEATERS - BOILER TECHNOLOGIES","BOILER TECHNOLOGIES","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16629","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-31","2022/2023-46 RN1","FIRST RENEWAL TO AGREEMENT FOR PROFESSIONAL LOBBYING SERVICES - THE SOUTHERN GROUP OF FLORIDA, INC","THE SOUTHERN GROUP OF FLORIDA, INC","Administrative/Consulting",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-46","https://dmcc.clayclerk.com/Documents/Download/16670","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-31","2023/2024-27 AM2","Second Amendment to the Main Services Agreement - FIDELITY WORKPLACE SERVICES",,"Insurance/Benefits",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2023/2024-27","https://dmcc.clayclerk.com/Documents/Download/16702","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-04","2012/2013-128 AM1","REINSTATEMENT AND FIRST AMENDMENT TO INTERLOCAL AGREEMENT - SPENCER WWTP",,"Utilities",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2012/2013-128","https://dmcc.clayclerk.com/Documents/Download/16700","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-10","2019/2020-196 AM14","FOURTEENTH AMENDMENT TO AGREEMENT FOR OWNER’S REPRESENTATIVE SERVICES FOR 2020 TRANSPORTATION BOND PROGRAM - WGI, INC.","WGI, INC.","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2019/2020-196","https://dmcc.clayclerk.com/Documents/Download/16686","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-10","2021/2022-151 AM4","FOURTH AMENDMENT TO AGREEMENT FOR FIRST COAST CONNECTOR (FCC)– SR 23 TO MARYLAND AVE. (CR 315) DESIGN-BUILD FOR THE BONDED TRANSPORTATION PROGRAM PROJECT 6B - SUPERIOR CONSTRUCTION","SUPERIOR CONSTRUCTION","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2021/2022-151","https://dmcc.clayclerk.com/Documents/Download/16669","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-10","2022/2023-327 RN2 AM1","AMENDMENT TO T-MOBILE RENEWAL AGREEMENT","T-Mobile","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-327","https://dmcc.clayclerk.com/Documents/Download/16674","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-10","2023/2024-168 AM2","SECOND AMENDMENT TO AGREEMENT FOR CONSTRUCTION OF ROADWAY AND DRAINAGE IMPROVEMENTS ALONG CR 218 FROM COSMOS AVE. TO PINE TREE LANE FOR THE BONDED TRANSPORTATION PROGRAM PROJECT 1 - ANDERSON COLUMBIA","ANDERSON COLUMBIA","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-168","https://dmcc.clayclerk.com/Documents/Download/16682","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-10","2023/2024-78 AM2","SECOND AMENDMENT TO PHASE 2 CONSTRUCTION AGREEMENT FOR THE BONDED TRANSPORTATION PROGRAM CMAR GROUP #1, PROJECT 3B - KIEWIT","KIEWIT","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-78","https://dmcc.clayclerk.com/Documents/Download/16661","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-10","2025/2026-0029","FRANCHISE AGREEMENT FOR CONTAINER SERVICE - CT DUMPSTER AND HAULING","CT DUMPSTER AND HAULING","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16666","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-10","2025/2026-0030","FRANCHISE AGREEMENT FOR CONTAINER SERVICE - DENNIS JUNK REMOVAL","DENNIS JUNK REMOVAL","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16683","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-10","2025/2026-0031","FRANCHISE AGREEMENT FOR CONTAINER SERVICE - AMERICAN ROLLOFFS","AMERICAN ROLLOFFS","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16680","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-10","2025/2026-0032","FRANCHISE AGREEMENT FOR CONTAINER SERVICE - DUMP TRAILERS","DUMP TRAILERS","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16665","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-10","2025/2026-0033","FRANCHISE AGREEMENT FOR CONTAINER SERVICE - GREY DUMPSTER","GREY DUMPSTER","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16679","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-10","2025/2026-0035","FRANCHISE AGREEMENT FOR CONTAINER SERVICE - MINUTEMAN RECYCLING","MINUTEMAN RECYCLING","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16662","Clerk index metadata verified; document terms and payment chain require document-level review."
