fiscal_year,bid_number,document_type,record_date,record_number,title,normalized_vendor,category,subcategory,evidence_basis,substantive_source_url,procurement_status,award_status,contract_status,amendment_status,po_status,invoice_status,payment_status,approved_amount,contract_ceiling,verified_actual_payments,parent_contract_number,source_url,notes
"FY2025-26",,"Agreement/Contract","2026-02-18","2025/2026-0116","OVERDRIVE - DIGITAL LIBRARY ORDER FORM","OverDrive","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16854","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-19","2024/2025-67 RN1","MICROSOFT ENTERPRISE UPDATE STATEMENT TRUE-UP RENEWAL - SHI","SHI","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-67","https://dmcc.clayclerk.com/Documents/Download/16823","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-02-19","2025/2026-0098","DOGS PLAYING FOR LIFE SEMINAR AGREEMENT",,"Community/Nonprofit Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16821","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-02-19","2025/2026-0100","INTERLOCAL AGREEMENT BETWEEN CLAY COUNTY, FLORIDA AND THE CITY OF KEYSTONE HEIGHTS, FLORIDA REGARDING LAKE GENEVA RESTORATION PROJECT FUNDING",,"Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16822","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-20","2022/2023-109 RN1","FIRST RENEWAL TO AGREEMENT FOR 911 HARDWARE AND SOFTWARE MAINTENANCE SERVICES - AK ASSOCIATES","AK Associates","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-109","https://dmcc.clayclerk.com/Documents/Download/17628","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-24","2023/2024-181 RN1","FIRST RENEWAL TO AGREEMENT FOR ONSITE CONCRETE AND ASPHALT MILLING CRUSHING SERVICES - KNEPPS","KNEPPS","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-181","https://dmcc.clayclerk.com/Documents/Download/16856","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-24","2024/2025-88 AM1","FIRST AMENDMENT TO AGREEMENT FOR FIRE CONSULTANT SERVICES - NATIONAL FIRE SERVICES ISO INSPECTION","NATIONAL FIRE SERVICES ISO INSPECTION","Fire/EMS",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-88","https://dmcc.clayclerk.com/Documents/Download/16827","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-02-24","2025/2026-0101","SYNTECH - FUELMASTER MANAGEMENT SYSTEM EXTENDED MAINTENANCE AGREEMENT","Syn-Tech Systems","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16825","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-02-27","2024/2025-262 AM1","FIRST AMENDMENT TO CLAY COUNTY SHIP PROGRAM DEMOLITION AND RECONSTRUCTION AGREEMENT - MARGIE AND FRANK WARING","MARGIE AND FRANK WARING","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-262","https://dmcc.clayclerk.com/Documents/Download/16828","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-01","2022/2023-123 RN2","SECOND RENEWAL AND AMENDMENT TO AGREEMENT FOR RENTAL OF PORTABLE TOILETS – COUNTY WIDE - UNITED SITE SERVICES OF FLORIDA","UNITED SITE SERVICES OF FLORIDA","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-123","https://dmcc.clayclerk.com/Documents/Download/16855","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-02","2023/2024-256 AM3","THIRD AMENDMENT TO PHASE 2 CONSTRUCTION MANAGEMENT AT RISK (CMAR) CONSTRUCTION AGREEMENT FOR THE CLAY COUNTY BUILDING/ECONOMIC DEVELOPMENT SERVICES FACILITY - SCORPIO","SCORPIO","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-256","https://dmcc.clayclerk.com/Documents/Download/16829","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-02","2024/2025-249 AM1","AMENDMENT TO INTERLOCAL REGARDING LAKE GENEVA RESTORATION PROJECT",,"Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2024/2025-249","https://dmcc.clayclerk.com/Documents/Download/17618","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-02","2025/2026-0102","Service Agreement for Iridium Services - SKYBASE COMMUNICATIONS","SKYBASE COMMUNICATIONS","Other",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16830","Clerk index metadata verified; document terms and payment chain require document-level review."
